"jour_";"Avg_Temperature";"Avg_Humidity";"Avg_WindSpeed";"Avg_PC_KWH"
"2017-01-01";"9,68";"68,52";"0,32";"64071,82"
"2017-01-02";"12,48";"71,46";"0,08";"66247,98"
"2017-01-03";"12,10";"74,98";"0,08";"68240,52"
"2017-01-04";"10,51";"75,46";"0,08";"68465,60"
"2017-01-05";"10,87";"71,04";"0,08";"68501,03"
"2017-01-06";"11,69";"77,26";"0,15";"68333,09"
"2017-01-07";"12,02";"76,22";"0,08";"67851,08"
"2017-01-08";"14,72";"69,11";"0,08";"64591,64"
"2017-01-09";"15,49";"68,33";"0,07";"67060,68"
"2017-01-10";"14,02";"75,68";"0,08";"68693,90"
"2017-01-11";"13,28";"66,89";"0,08";"67082,78"
"2017-01-12";"13,90";"75,76";"0,08";"69420,57"
"2017-01-13";"14,63";"81,34";"0,07";"68043,39"
"2017-01-14";"14,99";"68,54";"0,08";"67339,46"
"2017-01-15";"14,23";"70,70";"0,08";"64024,18"
"2017-01-16";"13,37";"61,19";"0,08";"67814,07"
"2017-01-17";"11,37";"63,79";"0,08";"68867,17"
"2017-01-18";"13,68";"52,68";"0,08";"72609,61"
"2017-01-19";"11,64";"67,79";"0,08";"71286,08"
"2017-01-20";"11,17";"60,58";"0,83";"70052,12"
"2017-01-21";"11,18";"62,97";"0,33";"70322,98"
"2017-01-22";"12,84";"63,60";"0,08";"65532,20"
"2017-01-23";"11,42";"71,93";"0,08";"70286,48"
"2017-01-24";"10,84";"60,19";"0,09";"69230,14"
"2017-01-25";"9,88";"61,52";"0,96";"70020,93"
"2017-01-26";"11,22";"68,72";"0,08";"70822,31"
"2017-01-27";"11,85";"71,71";"0,09";"70212,46"
"2017-01-28";"13,52";"59,90";"2,81";"68166,22"
"2017-01-29";"14,56";"60,07";"4,92";"63603,51"
"2017-01-30";"16,62";"68,66";"4,92";"68034,95"
"2017-01-31";"15,27";"70,53";"4,92";"68535,08"
"2017-02-01";"11,24";"56,08";"4,92";"68013,90"
"2017-02-02";"11,11";"60,56";"4,92";"68968,40"
"2017-02-03";"13,89";"64,12";"2,70";"66439,34"
"2017-02-04";"11,28";"63,99";"0,08";"66107,86"
"2017-02-05";"8,98";"50,15";"0,09";"62099,09"
"2017-02-06";"10,51";"50,35";"0,09";"66150,43"
"2017-02-07";"8,63";"69,45";"0,08";"66409,41"
"2017-02-08";"8,78";"84,14";"3,24";"66235,60"
"2017-02-09";"12,82";"63,52";"4,92";"66555,60"
"2017-02-10";"12,15";"79,82";"4,92";"67218,97"
"2017-02-11";"12,73";"74,36";"2,49";"67167,52"
